"DRS","Time","base","virus","projecao","dt_event","wis","overprediction","underprediction","dispersion","ae_median","cov_50","cov_95"
"BAIXADA SANTISTA",11,"2024-10-02","covid","Previsto",2024-09-18,1.24025,0.2,0,1.04025,1,1,1
"BARRETOS",12,"2023-05-31","covid","Previsto",2023-05-20,2.88025,1,0,1.88025,3,0,1
"BARRETOS",12,"2023-06-06","covid","Previsto",2023-05-30,1.01025,0,0.2,0.81025,1,1,1
"BARRETOS",12,"2023-06-14","covid","Previsto",2023-06-07,1.39025,0,1,0.39025,3,0,1
"BARRETOS",10,"2023-06-20","covid","Previsto",2023-06-13,0.93,0.3,0,0.63,1.5,1,1
"BARRETOS",12,"2023-07-06","covid","Previsto",2023-07-05,0.32,0,0,0.32,0,1,1
"BARRETOS",12,"2023-07-19","covid","Previsto",2023-07-05,0.31025,0,0,0.31025,0,1,1
"BARRETOS",12,"2023-07-25","covid","Previsto",2023-07-05,0.34,0,0,0.34,0,1,1
"BARRETOS",12,"2023-08-02","covid","Previsto",2023-08-02,0.52025,0.2,0,0.32025,1,1,1
"BARRETOS",11,"2023-08-08","covid","Previsto",2023-08-04,24.74975,0.6,0,24.14975,3,1,1
"BARRETOS",11,"2023-08-16","covid","Previsto",2023-08-04,23.01525,0.8,0,22.21525,4,1,1
"BARRETOS",12,"2023-08-23","covid","Previsto",2023-08-11,2.7015,0.4,0,2.3015,2,1,1
"BARRETOS",12,"2023-08-30","covid","Previsto",2023-08-22,8.17874999999999,1.6,0,6.57874999999999,8,1,1
"BARRETOS",12,"2023-09-06","covid","Previsto",2023-09-05,3.14025,0.4,0,2.74025,2,1,1
"BARRETOS",12,"2023-09-19","covid","Previsto",2023-09-09,3.47025,1.6,0,1.87025,6,0,1
"BARRETOS",12,"2023-09-27","covid","Previsto",2023-09-13,6.23075,3.6,0,2.63075,10,0,1
"BARRETOS",11,"2023-10-06","covid","Previsto",2023-10-04,1.2905,0,0.8,0.4905,2,0,1
"BARRETOS",11,"2023-10-11","covid","Previsto",2023-10-04,1.27025,0,0.8,0.47025,2,0,1
"BARRETOS",11,"2023-10-18","covid","Previsto",2023-10-04,1.51,0,1,0.51,3,0,1
"BARRETOS",12,"2023-10-20","covid","Previsto",2023-10-12,1.24,0,1.2,0.04,2,0,1
"BARRETOS",12,"2023-10-25","covid","Previsto",2023-10-25,0.99,0,0.8,0.19,2,0,1
"BARRETOS",12,"2023-11-01","covid","Previsto",2023-11-01,2.33,1,0,1.33,3,0,1
"BARRETOS",12,"2023-11-08","covid","Previsto",2023-11-01,2.32025,1,0,1.32025,3,0,1
"BARRETOS",12,"2023-11-13","covid","Previsto",2023-11-02,3.6705,1,0,2.6705,3,0,1
"BARRETOS",12,"2023-11-29","covid","Previsto",2023-11-22,1.0705,0,0.4,0.6705,2,1,1
"BARRETOS",12,"2023-12-06","covid","Previsto",2023-11-22,1.0705,0,0.4,0.6705,2,1,1
"BARRETOS",12,"2023-12-13","covid","Previsto",2023-11-24,1.7515,0,0.4,1.3515,2,1,1
"BARRETOS",12,"2023-12-20","covid","Previsto",2023-12-13,0.15,0,0,0.15,0,1,1
"BARRETOS",11,"2023-12-27","covid","Previsto",2023-12-16,0.15,0,0,0.15,0,1,1
"BARRETOS",11,"2024-01-03","covid","Previsto",2023-12-16,0.17,0,0,0.17,0,1,1
"BARRETOS",12,"2024-01-17","covid","Previsto",2024-01-10,0.40025,0,0.2,0.20025,1,1,1
"BARRETOS",12,"2024-01-31","covid","Previsto",2024-01-20,3.36025,0,2.8,0.56025,6,0,1
"BARRETOS",9,"2024-02-07","covid","Previsto",2024-02-03,25.3084999999999,2.2,0,23.1084999999999,11,1,1
"BARRETOS",9,"2024-02-14","covid","Previsto",2024-02-01,55.1875,4,0,51.1875,16,0,1
"BARRETOS",9,"2024-02-21","covid","Previsto",2024-02-14,8.745,0.8,0,7.945,4,1,1
"BARRETOS",10,"2024-02-28","covid","Previsto",2024-02-21,3.87025,0,1.6,2.27025,8,1,1
"BARRETOS",10,"2024-03-06","covid","Previsto",2024-03-06,2.035,0,1,1.035,5,1,1
"BARRETOS",10,"2024-03-13","covid","Previsto",2024-03-06,30.53375,18.4,0,12.13375,50,0,1
